"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"BLCA.mirnaseq.csv","ReliefF",10,"SMOTE","CNN",0.779203637274
"BLCA.mirnaseq.csv","SDAE",10,"SMOTE","CNN",0.837900514581
"BLCA.mirnaseq.csv","FCBF",10,"SMOTE","CNN",0.777471438486
"BLCA.mirnaseq.csv","ReliefF",50,"SMOTE","CNN",0.815523588731
"BLCA.mirnaseq.csv","SDAE",50,"SMOTE","CNN",0.854767054928
"BLCA.mirnaseq.csv","FCBF",50,"SMOTE","CNN",0.700385371133
"BLCA.mirnaseq.csv","ReliefF",100,"SMOTE","CNN",0.800847490919
"BLCA.mirnaseq.csv","SDAE",100,"SMOTE","CNN",0.927682869539
"BLCA.mirnaseq.csv","FCBF",100,"SMOTE","CNN",0.78241848041
"BLCA.mirnaseq.csv","ReliefF",10,"SMOTE","MLP",0.873907169444
"BLCA.mirnaseq.csv","SDAE",10,"SMOTE","MLP",0.795095648361
"BLCA.mirnaseq.csv","FCBF",10,"SMOTE","MLP",0.80008773368
"BLCA.mirnaseq.csv","ReliefF",50,"SMOTE","MLP",0.902324713919
"BLCA.mirnaseq.csv","SDAE",50,"SMOTE","MLP",0.86396981695
"BLCA.mirnaseq.csv","FCBF",50,"SMOTE","MLP",0.807615577552
"BLCA.mirnaseq.csv","ReliefF",100,"SMOTE","MLP",0.861221085009
"BLCA.mirnaseq.csv","SDAE",100,"SMOTE","MLP",0.882227285787
"BLCA.mirnaseq.csv","FCBF",100,"SMOTE","MLP",0.806227512204
"BLCA.mirnaseq.csv","ReliefF",10,"SMOTE","DecisionTree",0.751776530848
"BLCA.mirnaseq.csv","SDAE",10,"SMOTE","DecisionTree",0.835243296018
"BLCA.mirnaseq.csv","FCBF",10,"SMOTE","DecisionTree",0.755425545328
"BLCA.mirnaseq.csv","ReliefF",50,"SMOTE","DecisionTree",0.735045631326
"BLCA.mirnaseq.csv","SDAE",50,"SMOTE","DecisionTree",0.666232331913
"BLCA.mirnaseq.csv","FCBF",50,"SMOTE","DecisionTree",0.756589603805
"BLCA.mirnaseq.csv","ReliefF",100,"SMOTE","DecisionTree",0.756695771689
"BLCA.mirnaseq.csv","SDAE",100,"SMOTE","DecisionTree",0.850227943739
"BLCA.mirnaseq.csv","FCBF",100,"SMOTE","DecisionTree",0.756589603805
"BLCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","CNN",0.81028650095
"BLCA.mirnaseq.csv","SDAE",10,"SMOTETomek","CNN",0.80382498381
"BLCA.mirnaseq.csv","FCBF",10,"SMOTETomek","CNN",0.751584124555
"BLCA.mirnaseq.csv","ReliefF",50,"SMOTETomek","CNN",0.805506511404
"BLCA.mirnaseq.csv","SDAE",50,"SMOTETomek","CNN",0.919867577293
"BLCA.mirnaseq.csv","FCBF",50,"SMOTETomek","CNN",0.785787357446
"BLCA.mirnaseq.csv","ReliefF",100,"SMOTETomek","CNN",0.757973800341
"BLCA.mirnaseq.csv","SDAE",100,"SMOTETomek","CNN",0.914047127155
"BLCA.mirnaseq.csv","FCBF",100,"SMOTETomek","CNN",0.813424493283
"BLCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","MLP",0.852240655463
"BLCA.mirnaseq.csv","SDAE",10,"SMOTETomek","MLP",0.802985647931
"BLCA.mirnaseq.csv","FCBF",10,"SMOTETomek","MLP",0.80008773368
"BLCA.mirnaseq.csv","ReliefF",50,"SMOTETomek","MLP",0.862914291923
"BLCA.mirnaseq.csv","SDAE",50,"SMOTETomek","MLP",0.8251745252
"BLCA.mirnaseq.csv","FCBF",50,"SMOTETomek","MLP",0.807521064244
"BLCA.mirnaseq.csv","ReliefF",100,"SMOTETomek","MLP",0.897076957146
"BLCA.mirnaseq.csv","SDAE",100,"SMOTETomek","MLP",0.888103537979
"BLCA.mirnaseq.csv","FCBF",100,"SMOTETomek","MLP",0.806386017552
"BLCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","DecisionTree",0.752388157381
"BLCA.mirnaseq.csv","SDAE",10,"SMOTETomek","DecisionTree",0.86899084389
"BLCA.mirnaseq.csv","FCBF",10,"SMOTETomek","DecisionTree",0.755425545328
"BLCA.mirnaseq.csv","ReliefF",50,"SMOTETomek","DecisionTree",0.759542030661
"BLCA.mirnaseq.csv","SDAE",50,"SMOTETomek","DecisionTree",0.877346879817
"BLCA.mirnaseq.csv","FCBF",50,"SMOTETomek","DecisionTree",0.756589603805
"BLCA.mirnaseq.csv","ReliefF",100,"SMOTETomek","DecisionTree",0.768370255237
"BLCA.mirnaseq.csv","SDAE",100,"SMOTETomek","DecisionTree",0.901132244221
"BLCA.mirnaseq.csv","FCBF",100,"SMOTETomek","DecisionTree",0.756589603805
"BLCA.mirnaseq.csv","ReliefF",10,"NearMiss","CNN",0.841739533494
"BLCA.mirnaseq.csv","SDAE",10,"NearMiss","CNN",0.667961390972
"BLCA.mirnaseq.csv","FCBF",10,"NearMiss","CNN",0.47490009728
"BLCA.mirnaseq.csv","ReliefF",50,"NearMiss","CNN",0.720043826897
"BLCA.mirnaseq.csv","SDAE",50,"NearMiss","CNN",0.578987280252
"BLCA.mirnaseq.csv","FCBF",50,"NearMiss","CNN",0.291079632682
"BLCA.mirnaseq.csv","ReliefF",100,"NearMiss","CNN",0.650548986839
"BLCA.mirnaseq.csv","SDAE",100,"NearMiss","CNN",0.584979736076
"BLCA.mirnaseq.csv","FCBF",100,"NearMiss","CNN",0.432741568448
"BLCA.mirnaseq.csv","ReliefF",10,"NearMiss","MLP",0.85569738175
"BLCA.mirnaseq.csv","SDAE",10,"NearMiss","MLP",0.654213954536
"BLCA.mirnaseq.csv","FCBF",10,"NearMiss","MLP",0.291917547688
"BLCA.mirnaseq.csv","ReliefF",50,"NearMiss","MLP",0.827614976681
"BLCA.mirnaseq.csv","SDAE",50,"NearMiss","MLP",0.569773743417
"BLCA.mirnaseq.csv","FCBF",50,"NearMiss","MLP",0.583965657718
"BLCA.mirnaseq.csv","ReliefF",100,"NearMiss","MLP",0.757142859285
"BLCA.mirnaseq.csv","SDAE",100,"NearMiss","MLP",0.606665856545
"BLCA.mirnaseq.csv","FCBF",100,"NearMiss","MLP",0.327114584237
"BLCA.mirnaseq.csv","ReliefF",10,"NearMiss","DecisionTree",0.735804131821
"BLCA.mirnaseq.csv","SDAE",10,"NearMiss","DecisionTree",0.527684751759
"BLCA.mirnaseq.csv","FCBF",10,"NearMiss","DecisionTree",0.464184811582
"BLCA.mirnaseq.csv","ReliefF",50,"NearMiss","DecisionTree",0.784915297471
"BLCA.mirnaseq.csv","SDAE",50,"NearMiss","DecisionTree",0.558648167698
"BLCA.mirnaseq.csv","FCBF",50,"NearMiss","DecisionTree",0.464184811582
"BLCA.mirnaseq.csv","ReliefF",100,"NearMiss","DecisionTree",0.601696974867
"BLCA.mirnaseq.csv","SDAE",100,"NearMiss","DecisionTree",0.361950849684
"BLCA.mirnaseq.csv","FCBF",100,"NearMiss","DecisionTree",0.464184811582
