"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"BLCA.rnaseqv2.csv","ReliefF",10,"SMOTE","CNN",0.950952165127
"BLCA.rnaseqv2.csv","SDAE",10,"SMOTE","CNN",0.64552406046
"BLCA.rnaseqv2.csv","FCBF",10,"SMOTE","CNN",0.890785362375
"BLCA.rnaseqv2.csv","ReliefF",50,"SMOTE","CNN",0.859386380827
"BLCA.rnaseqv2.csv","SDAE",50,"SMOTE","CNN",0.790672227348
"BLCA.rnaseqv2.csv","FCBF",50,"SMOTE","CNN",0.894386853923
"BLCA.rnaseqv2.csv","ReliefF",100,"SMOTE","CNN",0.799283653211
"BLCA.rnaseqv2.csv","SDAE",100,"SMOTE","CNN",0.90893489627
"BLCA.rnaseqv2.csv","FCBF",100,"SMOTE","CNN",0.879376809856
"BLCA.rnaseqv2.csv","ReliefF",10,"SMOTE","MLP",0.84483367554
"BLCA.rnaseqv2.csv","SDAE",10,"SMOTE","MLP",0.842462743785
"BLCA.rnaseqv2.csv","FCBF",10,"SMOTE","MLP",0.889118538709
"BLCA.rnaseqv2.csv","ReliefF",50,"SMOTE","MLP",0.877543927243
"BLCA.rnaseqv2.csv","SDAE",50,"SMOTE","MLP",0.853639937389
"BLCA.rnaseqv2.csv","FCBF",50,"SMOTE","MLP",0.885413497356
"BLCA.rnaseqv2.csv","ReliefF",100,"SMOTE","MLP",0.90519245234
"BLCA.rnaseqv2.csv","SDAE",100,"SMOTE","MLP",0.839449593712
"BLCA.rnaseqv2.csv","FCBF",100,"SMOTE","MLP",0.884320448609
"BLCA.rnaseqv2.csv","ReliefF",10,"SMOTE","DecisionTree",0.758421741269
"BLCA.rnaseqv2.csv","SDAE",10,"SMOTE","DecisionTree",0.440986762537
"BLCA.rnaseqv2.csv","FCBF",10,"SMOTE","DecisionTree",0.82777426806
"BLCA.rnaseqv2.csv","ReliefF",50,"SMOTE","DecisionTree",0.828322130874
"BLCA.rnaseqv2.csv","SDAE",50,"SMOTE","DecisionTree",0.74140955453
"BLCA.rnaseqv2.csv","FCBF",50,"SMOTE","DecisionTree",0.82777426806
"BLCA.rnaseqv2.csv","ReliefF",100,"SMOTE","DecisionTree",0.849998982426
"BLCA.rnaseqv2.csv","SDAE",100,"SMOTE","DecisionTree",0.504289005499
"BLCA.rnaseqv2.csv","FCBF",100,"SMOTE","DecisionTree",0.82777426806
"BLCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","CNN",0.773718604542
"BLCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","CNN",0.641234899246
"BLCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","CNN",0.920150464802
"BLCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","CNN",0.832959999905
"BLCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","CNN",0.619108013548
"BLCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","CNN",0.891878411122
"BLCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","CNN",0.856757306125
"BLCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","CNN",0.897069016742
"BLCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","CNN",0.890623424149
"BLCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","MLP",0.845698646077
"BLCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","MLP",0.800570696003
"BLCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","MLP",0.886734175592
"BLCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","MLP",0.899353713434
"BLCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","MLP",0.857511378055
"BLCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","MLP",0.889522765601
"BLCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","MLP",0.906415705405
"BLCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","MLP",0.862987063409
"BLCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","MLP",0.884334075817
"BLCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","DecisionTree",0.758421741269
"BLCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","DecisionTree",0.608006073483
"BLCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","DecisionTree",0.82777426806
"BLCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","DecisionTree",0.828322130874
"BLCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","DecisionTree",0.476029824557
"BLCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","DecisionTree",0.82777426806
"BLCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","DecisionTree",0.785662372637
"BLCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","DecisionTree",0.367690826381
"BLCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","DecisionTree",0.82777426806
"BLCA.rnaseqv2.csv","ReliefF",10,"NearMiss","CNN",0.87645159603
"BLCA.rnaseqv2.csv","SDAE",10,"NearMiss","CNN",0.482774981984
"BLCA.rnaseqv2.csv","FCBF",10,"NearMiss","CNN",0.156984016873
"BLCA.rnaseqv2.csv","ReliefF",50,"NearMiss","CNN",0.894213034296
"BLCA.rnaseqv2.csv","SDAE",50,"NearMiss","CNN",0.795566502567
"BLCA.rnaseqv2.csv","FCBF",50,"NearMiss","CNN",0.335591174453
"BLCA.rnaseqv2.csv","ReliefF",100,"NearMiss","CNN",0.902889137143
"BLCA.rnaseqv2.csv","SDAE",100,"NearMiss","CNN",0.761567688941
"BLCA.rnaseqv2.csv","FCBF",100,"NearMiss","CNN",0.347228361187
"BLCA.rnaseqv2.csv","ReliefF",10,"NearMiss","MLP",0.834520659487
"BLCA.rnaseqv2.csv","SDAE",10,"NearMiss","MLP",0.669412261473
"BLCA.rnaseqv2.csv","FCBF",10,"NearMiss","MLP",0.443347656555
"BLCA.rnaseqv2.csv","ReliefF",50,"NearMiss","MLP",0.848128957147
"BLCA.rnaseqv2.csv","SDAE",50,"NearMiss","MLP",0.745052334578
"BLCA.rnaseqv2.csv","FCBF",50,"NearMiss","MLP",0.280977604333
"BLCA.rnaseqv2.csv","ReliefF",100,"NearMiss","MLP",0.818854693211
"BLCA.rnaseqv2.csv","SDAE",100,"NearMiss","MLP",0.770688532194
"BLCA.rnaseqv2.csv","FCBF",100,"NearMiss","MLP",0.396504684846
"BLCA.rnaseqv2.csv","ReliefF",10,"NearMiss","DecisionTree",0.9092714188
"BLCA.rnaseqv2.csv","SDAE",10,"NearMiss","DecisionTree",0.574329574822
"BLCA.rnaseqv2.csv","FCBF",10,"NearMiss","DecisionTree",0.664535628685
"BLCA.rnaseqv2.csv","ReliefF",50,"NearMiss","DecisionTree",0.77527070977
"BLCA.rnaseqv2.csv","SDAE",50,"NearMiss","DecisionTree",0.44240540124
"BLCA.rnaseqv2.csv","FCBF",50,"NearMiss","DecisionTree",0.664535628685
"BLCA.rnaseqv2.csv","ReliefF",100,"NearMiss","DecisionTree",0.873672347656
"BLCA.rnaseqv2.csv","SDAE",100,"NearMiss","DecisionTree",0.539236223679
"BLCA.rnaseqv2.csv","FCBF",100,"NearMiss","DecisionTree",0.664535628685
