"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"BRCA.mirnaseq.csv","ReliefF",10,"SMOTE","CNN",0.977485928185
"BRCA.mirnaseq.csv","SDAE",10,"SMOTE","CNN",0.898023731309
"BRCA.mirnaseq.csv","FCBF",10,"SMOTE","CNN",0.804034891837
"BRCA.mirnaseq.csv","ReliefF",50,"SMOTE","CNN",0.940887424826
"BRCA.mirnaseq.csv","SDAE",50,"SMOTE","CNN",0.93177651601
"BRCA.mirnaseq.csv","FCBF",50,"SMOTE","CNN",0.731046231114
"BRCA.mirnaseq.csv","ReliefF",100,"SMOTE","CNN",0.928146243734
"BRCA.mirnaseq.csv","SDAE",100,"SMOTE","CNN",0.943952909969
"BRCA.mirnaseq.csv","FCBF",100,"SMOTE","CNN",0.808937220988
"BRCA.mirnaseq.csv","ReliefF",10,"SMOTE","MLP",0.971202010156
"BRCA.mirnaseq.csv","SDAE",10,"SMOTE","MLP",0.888922111312
"BRCA.mirnaseq.csv","FCBF",10,"SMOTE","MLP",0.800641900606
"BRCA.mirnaseq.csv","ReliefF",50,"SMOTE","MLP",0.980635508548
"BRCA.mirnaseq.csv","SDAE",50,"SMOTE","MLP",0.92844147708
"BRCA.mirnaseq.csv","FCBF",50,"SMOTE","MLP",0.80759685552
"BRCA.mirnaseq.csv","ReliefF",100,"SMOTE","MLP",0.971375543664
"BRCA.mirnaseq.csv","SDAE",100,"SMOTE","MLP",0.917426459464
"BRCA.mirnaseq.csv","FCBF",100,"SMOTE","MLP",0.794925239302
"BRCA.mirnaseq.csv","ReliefF",10,"SMOTE","DecisionTree",0.957492816159
"BRCA.mirnaseq.csv","SDAE",10,"SMOTE","DecisionTree",0.875886436416
"BRCA.mirnaseq.csv","FCBF",10,"SMOTE","DecisionTree",0.668967258598
"BRCA.mirnaseq.csv","ReliefF",50,"SMOTE","DecisionTree",0.961974747052
"BRCA.mirnaseq.csv","SDAE",50,"SMOTE","DecisionTree",0.657666159933
"BRCA.mirnaseq.csv","FCBF",50,"SMOTE","DecisionTree",0.675188784656
"BRCA.mirnaseq.csv","ReliefF",100,"SMOTE","DecisionTree",0.920205170312
"BRCA.mirnaseq.csv","SDAE",100,"SMOTE","DecisionTree",0.780658020324
"BRCA.mirnaseq.csv","FCBF",100,"SMOTE","DecisionTree",0.675683183904
"BRCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","CNN",0.979407530097
"BRCA.mirnaseq.csv","SDAE",10,"SMOTETomek","CNN",0.922309665524
"BRCA.mirnaseq.csv","FCBF",10,"SMOTETomek","CNN",0.798630443841
"BRCA.mirnaseq.csv","ReliefF",50,"SMOTETomek","CNN",0.93443401347
"BRCA.mirnaseq.csv","SDAE",50,"SMOTETomek","CNN",0.938232934632
"BRCA.mirnaseq.csv","FCBF",50,"SMOTETomek","CNN",0.742229884127
"BRCA.mirnaseq.csv","ReliefF",100,"SMOTETomek","CNN",0.921372496384
"BRCA.mirnaseq.csv","SDAE",100,"SMOTETomek","CNN",0.94226963643
"BRCA.mirnaseq.csv","FCBF",100,"SMOTETomek","CNN",0.721709386213
"BRCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","MLP",0.977267414366
"BRCA.mirnaseq.csv","SDAE",10,"SMOTETomek","MLP",0.899909884329
"BRCA.mirnaseq.csv","FCBF",10,"SMOTETomek","MLP",0.804140049484
"BRCA.mirnaseq.csv","ReliefF",50,"SMOTETomek","MLP",0.968124000075
"BRCA.mirnaseq.csv","SDAE",50,"SMOTETomek","MLP",0.938815588715
"BRCA.mirnaseq.csv","FCBF",50,"SMOTETomek","MLP",0.790378476884
"BRCA.mirnaseq.csv","ReliefF",100,"SMOTETomek","MLP",0.971976252733
"BRCA.mirnaseq.csv","SDAE",100,"SMOTETomek","MLP",0.925359164827
"BRCA.mirnaseq.csv","FCBF",100,"SMOTETomek","MLP",0.805007306218
"BRCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","DecisionTree",0.963123435917
"BRCA.mirnaseq.csv","SDAE",10,"SMOTETomek","DecisionTree",0.919659901412
"BRCA.mirnaseq.csv","FCBF",10,"SMOTETomek","DecisionTree",0.66847285935
"BRCA.mirnaseq.csv","ReliefF",50,"SMOTETomek","DecisionTree",0.961767103957
"BRCA.mirnaseq.csv","SDAE",50,"SMOTETomek","DecisionTree",0.901897432114
"BRCA.mirnaseq.csv","FCBF",50,"SMOTETomek","DecisionTree",0.675683183904
"BRCA.mirnaseq.csv","ReliefF",100,"SMOTETomek","DecisionTree",0.919291326617
"BRCA.mirnaseq.csv","SDAE",100,"SMOTETomek","DecisionTree",0.746795202254
"BRCA.mirnaseq.csv","FCBF",100,"SMOTETomek","DecisionTree",0.675683183904
"BRCA.mirnaseq.csv","ReliefF",10,"NearMiss","CNN",0.963337103759
"BRCA.mirnaseq.csv","SDAE",10,"NearMiss","CNN",0.762324901162
"BRCA.mirnaseq.csv","FCBF",10,"NearMiss","CNN",0.815338760424
"BRCA.mirnaseq.csv","ReliefF",50,"NearMiss","CNN",0.949336547218
"BRCA.mirnaseq.csv","SDAE",50,"NearMiss","CNN",0.82234371078
"BRCA.mirnaseq.csv","FCBF",50,"NearMiss","CNN",0.81811687609
"BRCA.mirnaseq.csv","ReliefF",100,"NearMiss","CNN",0.953029088039
"BRCA.mirnaseq.csv","SDAE",100,"NearMiss","CNN",0.836680653159
"BRCA.mirnaseq.csv","FCBF",100,"NearMiss","CNN",0.81269762727
"BRCA.mirnaseq.csv","ReliefF",10,"NearMiss","MLP",0.96978838629
"BRCA.mirnaseq.csv","SDAE",10,"NearMiss","MLP",0.803306815322
"BRCA.mirnaseq.csv","FCBF",10,"NearMiss","MLP",0.85292923918
"BRCA.mirnaseq.csv","ReliefF",50,"NearMiss","MLP",0.884720724984
"BRCA.mirnaseq.csv","SDAE",50,"NearMiss","MLP",0.792121767518
"BRCA.mirnaseq.csv","FCBF",50,"NearMiss","MLP",0.85384802029
"BRCA.mirnaseq.csv","ReliefF",100,"NearMiss","MLP",0.901657927959
"BRCA.mirnaseq.csv","SDAE",100,"NearMiss","MLP",0.795765815906
"BRCA.mirnaseq.csv","FCBF",100,"NearMiss","MLP",0.843453319126
"BRCA.mirnaseq.csv","ReliefF",10,"NearMiss","DecisionTree",0.835480029634
