"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"BRCA.rnaseqv2.csv","ReliefF",10,"SMOTE","CNN",0.953512863404
"BRCA.rnaseqv2.csv","SDAE",10,"SMOTE","CNN",0.885880005316
"BRCA.rnaseqv2.csv","FCBF",10,"SMOTE","CNN",0.74835758635
"BRCA.rnaseqv2.csv","ReliefF",50,"SMOTE","CNN",0.938913318059
"BRCA.rnaseqv2.csv","SDAE",50,"SMOTE","CNN",0.924343383947
"BRCA.rnaseqv2.csv","FCBF",50,"SMOTE","CNN",0.753112441918
"BRCA.rnaseqv2.csv","ReliefF",100,"SMOTE","CNN",0.960084479318
"BRCA.rnaseqv2.csv","SDAE",100,"SMOTE","CNN",0.757323032954
"BRCA.rnaseqv2.csv","FCBF",100,"SMOTE","CNN",0.744003184908
"BRCA.rnaseqv2.csv","ReliefF",10,"SMOTE","MLP",0.982969042833
"BRCA.rnaseqv2.csv","SDAE",10,"SMOTE","MLP",0.8610051466
"BRCA.rnaseqv2.csv","FCBF",10,"SMOTE","MLP",0.799197568831
"BRCA.rnaseqv2.csv","ReliefF",50,"SMOTE","MLP",0.967600350075
"BRCA.rnaseqv2.csv","SDAE",50,"SMOTE","MLP",0.915695820305
"BRCA.rnaseqv2.csv","FCBF",50,"SMOTE","MLP",0.779038650422
"BRCA.rnaseqv2.csv","ReliefF",100,"SMOTE","MLP",0.95913784272
"BRCA.rnaseqv2.csv","SDAE",100,"SMOTE","MLP",0.929151703651
"BRCA.rnaseqv2.csv","FCBF",100,"SMOTE","MLP",0.776940083337
"BRCA.rnaseqv2.csv","ReliefF",10,"SMOTE","DecisionTree",0.940294556665
"BRCA.rnaseqv2.csv","SDAE",10,"SMOTE","DecisionTree",0.435468960921
"BRCA.rnaseqv2.csv","FCBF",10,"SMOTE","DecisionTree",0.725916999568
"BRCA.rnaseqv2.csv","ReliefF",50,"SMOTE","DecisionTree",0.972033443518
"BRCA.rnaseqv2.csv","SDAE",50,"SMOTE","DecisionTree",0.782720339846
"BRCA.rnaseqv2.csv","FCBF",50,"SMOTE","DecisionTree",0.726271568287
"BRCA.rnaseqv2.csv","ReliefF",100,"SMOTE","DecisionTree",0.946029090583
"BRCA.rnaseqv2.csv","SDAE",100,"SMOTE","DecisionTree",0.808366196975
"BRCA.rnaseqv2.csv","FCBF",100,"SMOTE","DecisionTree",0.726271568287
"BRCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","CNN",0.936049810324
"BRCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","CNN",0.723014857454
"BRCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","CNN",0.75907323319
"BRCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","CNN",0.929135111417
"BRCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","CNN",0.88642353482
"BRCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","CNN",0.743278340943
"BRCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","CNN",0.960798497445
"BRCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","CNN",0.957817452962
"BRCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","CNN",0.754807126397
"BRCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","MLP",0.972463173101
"BRCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","MLP",0.892740255413
"BRCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","MLP",0.790029402914
"BRCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","MLP",0.966076540397
"BRCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","MLP",0.915216813932
"BRCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","MLP",0.787830986948
"BRCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","MLP",0.971196130684
"BRCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","MLP",0.907579910692
"BRCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","MLP",0.787526926536
"BRCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","DecisionTree",0.951779800274
"BRCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","DecisionTree",0.630547109353
"BRCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","DecisionTree",0.725916999568
"BRCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","DecisionTree",0.958830464277
"BRCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","DecisionTree",0.626978060902
"BRCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","DecisionTree",0.726271568287
"BRCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","DecisionTree",0.94650880633
"BRCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","DecisionTree",0.785097956514
"BRCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","DecisionTree",0.726271568287
"BRCA.rnaseqv2.csv","ReliefF",10,"NearMiss","CNN",0.911568414621
"BRCA.rnaseqv2.csv","SDAE",10,"NearMiss","CNN",0.757282639691
"BRCA.rnaseqv2.csv","FCBF",10,"NearMiss","CNN",0.530513540645
"BRCA.rnaseqv2.csv","ReliefF",50,"NearMiss","CNN",0.988544327561
"BRCA.rnaseqv2.csv","SDAE",50,"NearMiss","CNN",0.851955687061
"BRCA.rnaseqv2.csv","FCBF",50,"NearMiss","CNN",0.553845244423
"BRCA.rnaseqv2.csv","ReliefF",100,"NearMiss","CNN",0.982097932194
"BRCA.rnaseqv2.csv","SDAE",100,"NearMiss","CNN",0.833460263393
"BRCA.rnaseqv2.csv","FCBF",100,"NearMiss","CNN",0.533790142195
"BRCA.rnaseqv2.csv","ReliefF",10,"NearMiss","MLP",0.924278115171
"BRCA.rnaseqv2.csv","SDAE",10,"NearMiss","MLP",0.81426357888
"BRCA.rnaseqv2.csv","FCBF",10,"NearMiss","MLP",0.573703446217
"BRCA.rnaseqv2.csv","ReliefF",50,"NearMiss","MLP",0.951515661214
"BRCA.rnaseqv2.csv","SDAE",50,"NearMiss","MLP",0.847131881846
"BRCA.rnaseqv2.csv","FCBF",50,"NearMiss","MLP",0.604629623981
"BRCA.rnaseqv2.csv","ReliefF",100,"NearMiss","MLP",0.965562302933
"BRCA.rnaseqv2.csv","SDAE",100,"NearMiss","MLP",0.854755202845
"BRCA.rnaseqv2.csv","FCBF",100,"NearMiss","MLP",0.570798408176
"BRCA.rnaseqv2.csv","ReliefF",10,"NearMiss","DecisionTree",0.898394828893
"BRCA.rnaseqv2.csv","SDAE",10,"NearMiss","DecisionTree",0.40074688849
"BRCA.rnaseqv2.csv","FCBF",10,"NearMiss","DecisionTree",0.833713819104
"BRCA.rnaseqv2.csv","ReliefF",50,"NearMiss","DecisionTree",0.940547633289
"BRCA.rnaseqv2.csv","SDAE",50,"NearMiss","DecisionTree",0.836118382944
"BRCA.rnaseqv2.csv","FCBF",50,"NearMiss","DecisionTree",0.834202904956
"BRCA.rnaseqv2.csv","ReliefF",100,"NearMiss","DecisionTree",0.96313620244
"BRCA.rnaseqv2.csv","SDAE",100,"NearMiss","DecisionTree",0.670139794127
"BRCA.rnaseqv2.csv","FCBF",100,"NearMiss","DecisionTree",0.836966133885
