"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"HNSC.mirnaseq.csv","ReliefF",10,"SMOTE","CNN",0.956819702165
"HNSC.mirnaseq.csv","SDAE",10,"SMOTE","CNN",0.840445714129
"HNSC.mirnaseq.csv","FCBF",10,"SMOTE","CNN",0.700068508688
"HNSC.mirnaseq.csv","ReliefF",50,"SMOTE","CNN",0.891497067074
"HNSC.mirnaseq.csv","SDAE",50,"SMOTE","CNN",0.921432092494
"HNSC.mirnaseq.csv","FCBF",50,"SMOTE","CNN",0.691253288251
"HNSC.mirnaseq.csv","ReliefF",100,"SMOTE","CNN",0.851525290521
"HNSC.mirnaseq.csv","SDAE",100,"SMOTE","CNN",0.922893581865
"HNSC.mirnaseq.csv","FCBF",100,"SMOTE","CNN",0.659194645022
"HNSC.mirnaseq.csv","ReliefF",10,"SMOTE","MLP",0.96412225367
"HNSC.mirnaseq.csv","SDAE",10,"SMOTE","MLP",0.869807797065
"HNSC.mirnaseq.csv","FCBF",10,"SMOTE","MLP",0.781793508305
"HNSC.mirnaseq.csv","ReliefF",50,"SMOTE","MLP",0.94934452681
"HNSC.mirnaseq.csv","SDAE",50,"SMOTE","MLP",0.874020452589
"HNSC.mirnaseq.csv","FCBF",50,"SMOTE","MLP",0.723743143221
"HNSC.mirnaseq.csv","ReliefF",100,"SMOTE","MLP",0.964022145786
"HNSC.mirnaseq.csv","SDAE",100,"SMOTE","MLP",0.893297383766
"HNSC.mirnaseq.csv","FCBF",100,"SMOTE","MLP",0.71585808163
"HNSC.mirnaseq.csv","ReliefF",10,"SMOTE","DecisionTree",0.90215289521
"HNSC.mirnaseq.csv","SDAE",10,"SMOTE","DecisionTree",0.912373258797
"HNSC.mirnaseq.csv","FCBF",10,"SMOTE","DecisionTree",0.750679033325
"HNSC.mirnaseq.csv","ReliefF",50,"SMOTE","DecisionTree",0.872451357982
"HNSC.mirnaseq.csv","SDAE",50,"SMOTE","DecisionTree",0.931778644487
"HNSC.mirnaseq.csv","FCBF",50,"SMOTE","DecisionTree",0.748950919728
"HNSC.mirnaseq.csv","ReliefF",100,"SMOTE","DecisionTree",0.933826673523
"HNSC.mirnaseq.csv","SDAE",100,"SMOTE","DecisionTree",0.909985672111
"HNSC.mirnaseq.csv","FCBF",100,"SMOTE","DecisionTree",0.748950919728
"HNSC.mirnaseq.csv","ReliefF",10,"SMOTETomek","CNN",0.922342731408
