"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"LUAD.mirnaseq.csv","ReliefF",10,"SMOTE","CNN",0.94095857578
"LUAD.mirnaseq.csv","SDAE",10,"SMOTE","CNN",0.877564738569
"LUAD.mirnaseq.csv","FCBF",10,"SMOTE","CNN",0.627182266668
"LUAD.mirnaseq.csv","ReliefF",50,"SMOTE","CNN",0.967265511551
"LUAD.mirnaseq.csv","SDAE",50,"SMOTE","CNN",0.894446153373
"LUAD.mirnaseq.csv","FCBF",50,"SMOTE","CNN",0.677067069891
"LUAD.mirnaseq.csv","ReliefF",100,"SMOTE","CNN",0.925165630053
"LUAD.mirnaseq.csv","SDAE",100,"SMOTE","CNN",0.904166291505
"LUAD.mirnaseq.csv","FCBF",100,"SMOTE","CNN",0.68609238584
"LUAD.mirnaseq.csv","ReliefF",10,"SMOTE","MLP",0.946805386385
"LUAD.mirnaseq.csv","SDAE",10,"SMOTE","MLP",0.898886622185
"LUAD.mirnaseq.csv","FCBF",10,"SMOTE","MLP",0.726447828012
"LUAD.mirnaseq.csv","ReliefF",50,"SMOTE","MLP",0.973892509149
"LUAD.mirnaseq.csv","SDAE",50,"SMOTE","MLP",0.89517909329
"LUAD.mirnaseq.csv","FCBF",50,"SMOTE","MLP",0.669596275812
"LUAD.mirnaseq.csv","ReliefF",100,"SMOTE","MLP",0.976527157141
"LUAD.mirnaseq.csv","SDAE",100,"SMOTE","MLP",0.87924943166
"LUAD.mirnaseq.csv","FCBF",100,"SMOTE","MLP",0.670863543946
"LUAD.mirnaseq.csv","ReliefF",10,"SMOTE","DecisionTree",0.906694869563
"LUAD.mirnaseq.csv","SDAE",10,"SMOTE","DecisionTree",0.923985923194
"LUAD.mirnaseq.csv","FCBF",10,"SMOTE","DecisionTree",0.639515389845
"LUAD.mirnaseq.csv","ReliefF",50,"SMOTE","DecisionTree",0.921578413109
"LUAD.mirnaseq.csv","SDAE",50,"SMOTE","DecisionTree",0.893984062851
"LUAD.mirnaseq.csv","FCBF",50,"SMOTE","DecisionTree",0.651811484457
"LUAD.mirnaseq.csv","ReliefF",100,"SMOTE","DecisionTree",0.940453730104
"LUAD.mirnaseq.csv","SDAE",100,"SMOTE","DecisionTree",0.904354591875
"LUAD.mirnaseq.csv","FCBF",100,"SMOTE","DecisionTree",0.651811484457
