"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"LUAD.rnaseqv2.csv","ReliefF",10,"SMOTE","CNN",0.972636373258
"LUAD.rnaseqv2.csv","SDAE",10,"SMOTE","CNN",0.963168418801
"LUAD.rnaseqv2.csv","FCBF",10,"SMOTE","CNN",0.790175585249
"LUAD.rnaseqv2.csv","ReliefF",50,"SMOTE","CNN",0.912165080092
"LUAD.rnaseqv2.csv","SDAE",50,"SMOTE","CNN",0.969381932757
"LUAD.rnaseqv2.csv","FCBF",50,"SMOTE","CNN",0.763470651721
"LUAD.rnaseqv2.csv","ReliefF",100,"SMOTE","CNN",0.961817291203
"LUAD.rnaseqv2.csv","SDAE",100,"SMOTE","CNN",0.97537103697
"LUAD.rnaseqv2.csv","FCBF",100,"SMOTE","CNN",0.769207055805
"LUAD.rnaseqv2.csv","ReliefF",10,"SMOTE","MLP",0.966700071743
"LUAD.rnaseqv2.csv","SDAE",10,"SMOTE","MLP",0.93037276303
"LUAD.rnaseqv2.csv","FCBF",10,"SMOTE","MLP",0.785833687476
"LUAD.rnaseqv2.csv","ReliefF",50,"SMOTE","MLP",0.976226873846
"LUAD.rnaseqv2.csv","SDAE",50,"SMOTE","MLP",0.957286073899
"LUAD.rnaseqv2.csv","FCBF",50,"SMOTE","MLP",0.769006453436
"LUAD.rnaseqv2.csv","ReliefF",100,"SMOTE","MLP",0.985631623035
"LUAD.rnaseqv2.csv","SDAE",100,"SMOTE","MLP",0.979367358042
"LUAD.rnaseqv2.csv","FCBF",100,"SMOTE","MLP",0.776193947364
"LUAD.rnaseqv2.csv","ReliefF",10,"SMOTE","DecisionTree",0.938770420205
"LUAD.rnaseqv2.csv","SDAE",10,"SMOTE","DecisionTree",0.767216444748
"LUAD.rnaseqv2.csv","FCBF",10,"SMOTE","DecisionTree",0.750578666861
"LUAD.rnaseqv2.csv","ReliefF",50,"SMOTE","DecisionTree",0.943709819448
"LUAD.rnaseqv2.csv","SDAE",50,"SMOTE","DecisionTree",0.966290357081
"LUAD.rnaseqv2.csv","FCBF",50,"SMOTE","DecisionTree",0.751470745404
"LUAD.rnaseqv2.csv","ReliefF",100,"SMOTE","DecisionTree",0.935236674717
"LUAD.rnaseqv2.csv","SDAE",100,"SMOTE","DecisionTree",0.962328304061
"LUAD.rnaseqv2.csv","FCBF",100,"SMOTE","DecisionTree",0.751470745404
"LUAD.rnaseqv2.csv","ReliefF",10,"SMOTETomek","CNN",0.938032061491
"LUAD.rnaseqv2.csv","SDAE",10,"SMOTETomek","CNN",0.965853580686
"LUAD.rnaseqv2.csv","FCBF",10,"SMOTETomek","CNN",0.793178585658
"LUAD.rnaseqv2.csv","ReliefF",50,"SMOTETomek","CNN",0.961815147892
"LUAD.rnaseqv2.csv","SDAE",50,"SMOTETomek","CNN",0.950388129942
"LUAD.rnaseqv2.csv","FCBF",50,"SMOTETomek","CNN",0.773728235373
"LUAD.rnaseqv2.csv","ReliefF",100,"SMOTETomek","CNN",0.971573190414
"LUAD.rnaseqv2.csv","SDAE",100,"SMOTETomek","CNN",0.931148302521
"LUAD.rnaseqv2.csv","FCBF",100,"SMOTETomek","CNN",0.770479014165
"LUAD.rnaseqv2.csv","ReliefF",10,"SMOTETomek","MLP",0.966700071743
"LUAD.rnaseqv2.csv","SDAE",10,"SMOTETomek","MLP",0.949035503083
"LUAD.rnaseqv2.csv","FCBF",10,"SMOTETomek","MLP",0.793904074345
"LUAD.rnaseqv2.csv","ReliefF",50,"SMOTETomek","MLP",0.95896702226
"LUAD.rnaseqv2.csv","SDAE",50,"SMOTETomek","MLP",0.974317240601
"LUAD.rnaseqv2.csv","FCBF",50,"SMOTETomek","MLP",0.764386429805
"LUAD.rnaseqv2.csv","ReliefF",100,"SMOTETomek","MLP",0.977117044587
"LUAD.rnaseqv2.csv","SDAE",100,"SMOTETomek","MLP",0.96326036854
"LUAD.rnaseqv2.csv","FCBF",100,"SMOTETomek","MLP",0.781783929432
"LUAD.rnaseqv2.csv","ReliefF",10,"SMOTETomek","DecisionTree",0.948574588955
"LUAD.rnaseqv2.csv","SDAE",10,"SMOTETomek","DecisionTree",0.75807525971
"LUAD.rnaseqv2.csv","FCBF",10,"SMOTETomek","DecisionTree",0.751470745404
"LUAD.rnaseqv2.csv","ReliefF",50,"SMOTETomek","DecisionTree",0.932526584535
"LUAD.rnaseqv2.csv","SDAE",50,"SMOTETomek","DecisionTree",0.970333609025
"LUAD.rnaseqv2.csv","FCBF",50,"SMOTETomek","DecisionTree",0.751470745404
"LUAD.rnaseqv2.csv","ReliefF",100,"SMOTETomek","DecisionTree",0.935236674717
"LUAD.rnaseqv2.csv","SDAE",100,"SMOTETomek","DecisionTree",0.96719523438
"LUAD.rnaseqv2.csv","FCBF",100,"SMOTETomek","DecisionTree",0.751470745404
"LUAD.rnaseqv2.csv","ReliefF",10,"NearMiss","CNN",0.977153624496
"LUAD.rnaseqv2.csv","SDAE",10,"NearMiss","CNN",0.686556614378
"LUAD.rnaseqv2.csv","FCBF",10,"NearMiss","CNN",0.572762629161
"LUAD.rnaseqv2.csv","ReliefF",50,"NearMiss","CNN",0.977112190778
"LUAD.rnaseqv2.csv","SDAE",50,"NearMiss","CNN",0.891451782671
"LUAD.rnaseqv2.csv","FCBF",50,"NearMiss","CNN",0.483327518846
