"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"LUSC.mirnaseq.csv","ReliefF",10,"SMOTE","CNN",0.943490139505
"LUSC.mirnaseq.csv","SDAE",10,"SMOTE","CNN",0.764217629776
"LUSC.mirnaseq.csv","FCBF",10,"SMOTE","CNN",0.747959303903
"LUSC.mirnaseq.csv","ReliefF",50,"SMOTE","CNN",0.895181386072
"LUSC.mirnaseq.csv","SDAE",50,"SMOTE","CNN",0.88825950022
"LUSC.mirnaseq.csv","FCBF",50,"SMOTE","CNN",0.750634629347
"LUSC.mirnaseq.csv","ReliefF",100,"SMOTE","CNN",0.92576277609
"LUSC.mirnaseq.csv","SDAE",100,"SMOTE","CNN",0.928200727472
"LUSC.mirnaseq.csv","FCBF",100,"SMOTE","CNN",0.749112930401
"LUSC.mirnaseq.csv","ReliefF",10,"SMOTE","MLP",0.943553005059
"LUSC.mirnaseq.csv","SDAE",10,"SMOTE","MLP",0.876872880015
"LUSC.mirnaseq.csv","FCBF",10,"SMOTE","MLP",0.778848992736
"LUSC.mirnaseq.csv","ReliefF",50,"SMOTE","MLP",0.945779179786
"LUSC.mirnaseq.csv","SDAE",50,"SMOTE","MLP",0.92516752974
"LUSC.mirnaseq.csv","FCBF",50,"SMOTE","MLP",0.780191963894
"LUSC.mirnaseq.csv","ReliefF",100,"SMOTE","MLP",0.968416233119
"LUSC.mirnaseq.csv","SDAE",100,"SMOTE","MLP",0.9299796991
"LUSC.mirnaseq.csv","FCBF",100,"SMOTE","MLP",0.764570246921
"LUSC.mirnaseq.csv","ReliefF",10,"SMOTE","DecisionTree",0.932878134769
"LUSC.mirnaseq.csv","SDAE",10,"SMOTE","DecisionTree",0.905542828897
"LUSC.mirnaseq.csv","FCBF",10,"SMOTE","DecisionTree",0.742887366386
"LUSC.mirnaseq.csv","ReliefF",50,"SMOTE","DecisionTree",0.94864817454
"LUSC.mirnaseq.csv","SDAE",50,"SMOTE","DecisionTree",0.744752721676
"LUSC.mirnaseq.csv","FCBF",50,"SMOTE","DecisionTree",0.742887366386
"LUSC.mirnaseq.csv","ReliefF",100,"SMOTE","DecisionTree",0.947246130909
"LUSC.mirnaseq.csv","SDAE",100,"SMOTE","DecisionTree",0.905230788052
"LUSC.mirnaseq.csv","FCBF",100,"SMOTE","DecisionTree",0.742887366386
"LUSC.mirnaseq.csv","ReliefF",10,"SMOTETomek","CNN",0.945144439943
"LUSC.mirnaseq.csv","SDAE",10,"SMOTETomek","CNN",0.738774670754
"LUSC.mirnaseq.csv","FCBF",10,"SMOTETomek","CNN",0.745622841545
"LUSC.mirnaseq.csv","ReliefF",50,"SMOTETomek","CNN",0.904909538611
"LUSC.mirnaseq.csv","SDAE",50,"SMOTETomek","CNN",0.916351410904
"LUSC.mirnaseq.csv","FCBF",50,"SMOTETomek","CNN",0.750455901559
"LUSC.mirnaseq.csv","ReliefF",100,"SMOTETomek","CNN",0.948951994984
"LUSC.mirnaseq.csv","SDAE",100,"SMOTETomek","CNN",0.937229110803
"LUSC.mirnaseq.csv","FCBF",100,"SMOTETomek","CNN",0.749302275061
"LUSC.mirnaseq.csv","ReliefF",10,"SMOTETomek","MLP",0.942826868372
"LUSC.mirnaseq.csv","SDAE",10,"SMOTETomek","MLP",0.889381814737
"LUSC.mirnaseq.csv","FCBF",10,"SMOTETomek","MLP",0.758867452888
"LUSC.mirnaseq.csv","ReliefF",50,"SMOTETomek","MLP",0.954739777212
"LUSC.mirnaseq.csv","SDAE",50,"SMOTETomek","MLP",0.912435635179
"LUSC.mirnaseq.csv","FCBF",50,"SMOTETomek","MLP",0.764570246921
"LUSC.mirnaseq.csv","ReliefF",100,"SMOTETomek","MLP",0.968416233119
"LUSC.mirnaseq.csv","SDAE",100,"SMOTETomek","MLP",0.908748792495
"LUSC.mirnaseq.csv","FCBF",100,"SMOTETomek","MLP",0.764570246921
"LUSC.mirnaseq.csv","ReliefF",10,"SMOTETomek","DecisionTree",0.946358262801
"LUSC.mirnaseq.csv","SDAE",10,"SMOTETomek","DecisionTree",0.927440916262
"LUSC.mirnaseq.csv","FCBF",10,"SMOTETomek","DecisionTree",0.742887366386
"LUSC.mirnaseq.csv","ReliefF",50,"SMOTETomek","DecisionTree",0.935168046508
"LUSC.mirnaseq.csv","SDAE",50,"SMOTETomek","DecisionTree",0.95119165221
"LUSC.mirnaseq.csv","FCBF",50,"SMOTETomek","DecisionTree",0.742887366386
"LUSC.mirnaseq.csv","ReliefF",100,"SMOTETomek","DecisionTree",0.945854511828
"LUSC.mirnaseq.csv","SDAE",100,"SMOTETomek","DecisionTree",0.933620687352
"LUSC.mirnaseq.csv","FCBF",100,"SMOTETomek","DecisionTree",0.742887366386
"LUSC.mirnaseq.csv","ReliefF",10,"NearMiss","CNN",0.927377054268
"LUSC.mirnaseq.csv","SDAE",10,"NearMiss","CNN",0.637235548027
"LUSC.mirnaseq.csv","FCBF",10,"NearMiss","CNN",0.685751107423
"LUSC.mirnaseq.csv","ReliefF",50,"NearMiss","CNN",0.928625939025
"LUSC.mirnaseq.csv","SDAE",50,"NearMiss","CNN",0.781337508681
"LUSC.mirnaseq.csv","FCBF",50,"NearMiss","CNN",0.598027945502
"LUSC.mirnaseq.csv","ReliefF",100,"NearMiss","CNN",0.904185611263
"LUSC.mirnaseq.csv","SDAE",100,"NearMiss","CNN",0.827994776337
"LUSC.mirnaseq.csv","FCBF",100,"NearMiss","CNN",0.590771273829
"LUSC.mirnaseq.csv","ReliefF",10,"NearMiss","MLP",0.921309498703
"LUSC.mirnaseq.csv","SDAE",10,"NearMiss","MLP",0.758483796342
"LUSC.mirnaseq.csv","FCBF",10,"NearMiss","MLP",0.70983557924
"LUSC.mirnaseq.csv","ReliefF",50,"NearMiss","MLP",0.912663181787
"LUSC.mirnaseq.csv","SDAE",50,"NearMiss","MLP",0.853512354737
"LUSC.mirnaseq.csv","FCBF",50,"NearMiss","MLP",0.782045657563
"LUSC.mirnaseq.csv","ReliefF",100,"NearMiss","MLP",0.923347333003
"LUSC.mirnaseq.csv","SDAE",100,"NearMiss","MLP",0.846670232628
"LUSC.mirnaseq.csv","FCBF",100,"NearMiss","MLP",0.70320703117
"LUSC.mirnaseq.csv","ReliefF",10,"NearMiss","DecisionTree",0.909027028311
"LUSC.mirnaseq.csv","SDAE",10,"NearMiss","DecisionTree",0.767597930598
"LUSC.mirnaseq.csv","FCBF",10,"NearMiss","DecisionTree",0.761283693865
"LUSC.mirnaseq.csv","ReliefF",50,"NearMiss","DecisionTree",0.876099548654
"LUSC.mirnaseq.csv","SDAE",50,"NearMiss","DecisionTree",0.78696054391
"LUSC.mirnaseq.csv","FCBF",50,"NearMiss","DecisionTree",0.750845655101
"LUSC.mirnaseq.csv","ReliefF",100,"NearMiss","DecisionTree",0.900663615656
"LUSC.mirnaseq.csv","SDAE",100,"NearMiss","DecisionTree",0.715279284696
"LUSC.mirnaseq.csv","FCBF",100,"NearMiss","DecisionTree",0.750845655101
