"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"THCA.mirnaseq.csv","ReliefF",10,"SMOTE","CNN",0.932392236678
"THCA.mirnaseq.csv","SDAE",10,"SMOTE","CNN",0.820687516476
"THCA.mirnaseq.csv","FCBF",10,"SMOTE","CNN",0.818512594728
"THCA.mirnaseq.csv","ReliefF",50,"SMOTE","CNN",0.957467257259
"THCA.mirnaseq.csv","SDAE",50,"SMOTE","CNN",0.898873229491
"THCA.mirnaseq.csv","FCBF",50,"SMOTE","CNN",0.719772828722
"THCA.mirnaseq.csv","ReliefF",100,"SMOTE","CNN",0.865395791033
"THCA.mirnaseq.csv","SDAE",100,"SMOTE","CNN",0.941012135656
"THCA.mirnaseq.csv","FCBF",100,"SMOTE","CNN",0.78574963394
"THCA.mirnaseq.csv","ReliefF",10,"SMOTE","MLP",0.938691118782
"THCA.mirnaseq.csv","SDAE",10,"SMOTE","MLP",0.900879956281
"THCA.mirnaseq.csv","FCBF",10,"SMOTE","MLP",0.815274870145
"THCA.mirnaseq.csv","ReliefF",50,"SMOTE","MLP",0.936906006665
"THCA.mirnaseq.csv","SDAE",50,"SMOTE","MLP",0.891776317975
"THCA.mirnaseq.csv","FCBF",50,"SMOTE","MLP",0.789255635564
"THCA.mirnaseq.csv","ReliefF",100,"SMOTE","MLP",0.95938969245
"THCA.mirnaseq.csv","SDAE",100,"SMOTE","MLP",0.901732612821
"THCA.mirnaseq.csv","FCBF",100,"SMOTE","MLP",0.788039135042
"THCA.mirnaseq.csv","ReliefF",10,"SMOTE","DecisionTree",0.792018970855
"THCA.mirnaseq.csv","SDAE",10,"SMOTE","DecisionTree",0.703748921695
"THCA.mirnaseq.csv","FCBF",10,"SMOTE","DecisionTree",0.78109958582
"THCA.mirnaseq.csv","ReliefF",50,"SMOTE","DecisionTree",0.791182645413
"THCA.mirnaseq.csv","SDAE",50,"SMOTE","DecisionTree",0.948173736417
"THCA.mirnaseq.csv","FCBF",50,"SMOTE","DecisionTree",0.790307478434
"THCA.mirnaseq.csv","ReliefF",100,"SMOTE","DecisionTree",0.897830119046
"THCA.mirnaseq.csv","SDAE",100,"SMOTE","DecisionTree",0.755307828089
"THCA.mirnaseq.csv","FCBF",100,"SMOTE","DecisionTree",0.790307478434
"THCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","CNN",0.898914252459
"THCA.mirnaseq.csv","SDAE",10,"SMOTETomek","CNN",0.83868077538
"THCA.mirnaseq.csv","FCBF",10,"SMOTETomek","CNN",0.824526626117
"THCA.mirnaseq.csv","ReliefF",50,"SMOTETomek","CNN",0.918700886382
"THCA.mirnaseq.csv","SDAE",50,"SMOTETomek","CNN",0.929856258267
"THCA.mirnaseq.csv","FCBF",50,"SMOTETomek","CNN",0.785136403303
"THCA.mirnaseq.csv","ReliefF",100,"SMOTETomek","CNN",0.890270289552
"THCA.mirnaseq.csv","SDAE",100,"SMOTETomek","CNN",0.941142129704
"THCA.mirnaseq.csv","FCBF",100,"SMOTETomek","CNN",0.778017998147
"THCA.mirnaseq.csv","ReliefF",10,"SMOTETomek","MLP",0.933432096045
"THCA.mirnaseq.csv","SDAE",10,"SMOTETomek","MLP",0.876057178602
