"Dataset","Algoritmo de seleção de atributos","Número de atributos selecionados","Método de Balanceamento","Classificador","G-Mean"
"THCA.rnaseqv2.csv","ReliefF",10,"SMOTE","CNN",0.935984891765
"THCA.rnaseqv2.csv","SDAE",10,"SMOTE","CNN",0.858566154469
"THCA.rnaseqv2.csv","FCBF",10,"SMOTE","CNN",0.835102692338
"THCA.rnaseqv2.csv","ReliefF",50,"SMOTE","CNN",0.91087049605
"THCA.rnaseqv2.csv","SDAE",50,"SMOTE","CNN",0.935469608103
"THCA.rnaseqv2.csv","FCBF",50,"SMOTE","CNN",0.805677997381
"THCA.rnaseqv2.csv","ReliefF",100,"SMOTE","CNN",0.938257379837
"THCA.rnaseqv2.csv","SDAE",100,"SMOTE","CNN",0.771635978694
"THCA.rnaseqv2.csv","FCBF",100,"SMOTE","CNN",0.799403950068
"THCA.rnaseqv2.csv","ReliefF",10,"SMOTE","MLP",0.946080509035
"THCA.rnaseqv2.csv","SDAE",10,"SMOTE","MLP",0.919186361811
"THCA.rnaseqv2.csv","FCBF",10,"SMOTE","MLP",0.822440690708
"THCA.rnaseqv2.csv","ReliefF",50,"SMOTE","MLP",0.956275806479
"THCA.rnaseqv2.csv","SDAE",50,"SMOTE","MLP",0.933556896242
"THCA.rnaseqv2.csv","FCBF",50,"SMOTE","MLP",0.799050373876
"THCA.rnaseqv2.csv","ReliefF",100,"SMOTE","MLP",0.964211261934
"THCA.rnaseqv2.csv","SDAE",100,"SMOTE","MLP",0.952044497688
"THCA.rnaseqv2.csv","FCBF",100,"SMOTE","MLP",0.805408064702
"THCA.rnaseqv2.csv","ReliefF",10,"SMOTE","DecisionTree",0.920152451794
"THCA.rnaseqv2.csv","SDAE",10,"SMOTE","DecisionTree",0.848425469397
"THCA.rnaseqv2.csv","FCBF",10,"SMOTE","DecisionTree",0.815975905991
"THCA.rnaseqv2.csv","ReliefF",50,"SMOTE","DecisionTree",0.892343637583
"THCA.rnaseqv2.csv","SDAE",50,"SMOTE","DecisionTree",0.758352876404
"THCA.rnaseqv2.csv","FCBF",50,"SMOTE","DecisionTree",0.815975905991
"THCA.rnaseqv2.csv","ReliefF",100,"SMOTE","DecisionTree",0.945865309396
"THCA.rnaseqv2.csv","SDAE",100,"SMOTE","DecisionTree",0.859619619163
"THCA.rnaseqv2.csv","FCBF",100,"SMOTE","DecisionTree",0.815975905991
"THCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","CNN",0.939592347708
"THCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","CNN",0.790450818699
"THCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","CNN",0.833918964276
"THCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","CNN",0.902743305449
"THCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","CNN",0.923496977455
"THCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","CNN",0.806443736781
"THCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","CNN",0.892961241015
"THCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","CNN",0.823572640583
"THCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","CNN",0.799960996678
"THCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","MLP",0.932165840636
"THCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","MLP",0.903702734055
"THCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","MLP",0.82366451408
"THCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","MLP",0.948464719711
"THCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","MLP",0.923326094135
"THCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","MLP",0.80553311398
"THCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","MLP",0.95724261271
"THCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","MLP",0.947317777624
"THCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","MLP",0.799973658262
"THCA.rnaseqv2.csv","ReliefF",10,"SMOTETomek","DecisionTree",0.925595740516
"THCA.rnaseqv2.csv","SDAE",10,"SMOTETomek","DecisionTree",0.949885013344
"THCA.rnaseqv2.csv","FCBF",10,"SMOTETomek","DecisionTree",0.815975905991
"THCA.rnaseqv2.csv","ReliefF",50,"SMOTETomek","DecisionTree",0.903451083886
"THCA.rnaseqv2.csv","SDAE",50,"SMOTETomek","DecisionTree",0.66034077269
"THCA.rnaseqv2.csv","FCBF",50,"SMOTETomek","DecisionTree",0.815975905991
"THCA.rnaseqv2.csv","ReliefF",100,"SMOTETomek","DecisionTree",0.888378943547
"THCA.rnaseqv2.csv","SDAE",100,"SMOTETomek","DecisionTree",0.951857537272
"THCA.rnaseqv2.csv","FCBF",100,"SMOTETomek","DecisionTree",0.815975905991
"THCA.rnaseqv2.csv","ReliefF",10,"NearMiss","CNN",0.945280218575
